title,release_year,score,number_of_votes,duration,main_genre
I Lost My Body,2019,7.5,31531,81,fantasy
"tick, tick... BOOM!",2021,7.5,96418,121,drama
Coming Soon,2014,7.5,33714,134,drama
Nocturnal Animals,2016,7.5,264884,115,drama
A Monster Calls,2016,7.5,86614,108,fantasy
On Body and Soul,2017,7.5,27003,116,fantasy
Ala Vaikunthapurramuloo,2020,7.5,14839,165,drama
The Devil's Advocate,1997,7.5,361422,144,horror
Sivaji: The Boss,2007,7.5,19556,189,drama
Happy as Lazzaro,2018,7.5,17716,125,fantasy
The Guns of Navarone,1961,7.5,50150,158,war
Who Am I,2014,7.5,55044,105,thriller
White Christmas,1954,7.5,42373,115,romance
Ip Man 2,2010,7.5,103673,108,drama
42,2013,7.5,93314,128,drama
Menace II Society,1993,7.5,57399,97,drama
Hum Aapke Hain Koun..!,1994,7.5,20986,206,romance
Blow,2001,7.5,255099,124,drama
Begin Again,2013,7.4,154049,104,comedy
Uncut Gems,2019,7.4,261956,130,drama
Sherlock Holmes: A Game of Shadows,2011,7.4,446531,129,crime
Rurouni Kenshin Part I: Origins,2012,7.4,25793,134,drama
Forgotten,2017,7.4,29804,109,thriller
Tamasha,2015,7.4,26790,139,drama
Mudbound,2017,7.4,47676,120,drama
Lady Bird,2017,7.4,277165,94,drama
Molly's Game,2017,7.4,165817,140,drama
Raman Raghav 2.0,2016,7.4,14380,134,thriller
Once Upon a Time in Mumbaai,2010,7.4,17494,132,thriller
Jaane Tu... Ya Jaane Na,2008,7.4,26738,155,drama
Peepli Live,2010,7.4,12265,104,drama
Even the Rain,2010,7.4,13446,104,drama
Darkest Hour,2017,7.4,193208,125,drama
The Bucket List,2007,7.4,242733,97,drama
American Factory,2019,7.4,21415,110,documentary
Miss Americana,2020,7.4,19151,85,documentary
The Hand of God,2021,7.4,30235,130,drama
A Nightmare on Elm Street,1984,7.4,230543,91,horror
83,2021,7.4,23781,163,drama
Meenakshi Sundareshwar,2021,7.4,17141,141,comedy
Kurup,2021,7.4,11582,155,crime
"Crazy, Stupid, Love.",2011,7.4,507878,118,romance
Schumacher,2021,7.4,21558,112,sports
Guzaarish,2010,7.4,18466,126,drama
What the Health,2017,7.4,28911,97,documentary
Mirage,2018,7.4,52657,129,thriller
Bully,2011,7.4,10266,92,drama
Phantom Thread,2017,7.4,128600,130,romance
Looper,2012,7.4,566791,119,thriller
Felon,2008,7.4,78039,103,crime
Life in a Metro,2007,7.4,11934,124,drama
Kabhi Khushi Kabhie Gham,2001,7.4,48818,210,drama
